"quote","author","source"
"It's about working with the living systems of the planet rather than trying to conquer or wrangle them.","Katharine Wilkinson","https://grist.org/fix/arts-culture/6-experts-on-the-dawning-of-a-feminist-climate-renaissance/"
"People don't make decisions based on the facts. They're guided by looking to others whom they trust.","Michael Oppenheimer","https://www.princetonmagazine.com/michael-oppenheimer-and-the-end-of-the-climate-as-you-know-it/"
"People are only going to deal with problems like this if they feel everybody else is going to deal with them, too.","Michael Oppenheimer","https://www.princetonmagazine.com/michael-oppenheimer-and-the-end-of-the-climate-as-you-know-it/"
"It's always those who are already suffering in some form in our societies who pay the highest price.","Friederike Otto","https://yaleclimateconnections.org/2025/05/inequality-magnifies-climate-impacts-worldwide-climate-scientist-writes-in-new-book/"
"Climate change is a problem we are all creating, but we are also all really important for the solution.","Friederike Otto","https://yaleclimateconnections.org/2025/05/inequality-magnifies-climate-impacts-worldwide-climate-scientist-writes-in-new-book/"
"We don't use just one model. We use several different ways to simulate a world that might have been without man-made climate change.","Friederike Otto","https://www.digitaltrends.com/outdoors/friederike-otto-angry-weather-book/"
"I've personally concluded that continuing to mindlessly burn fossil fuels, knowing what I know, is unacceptable.","Peter Kalmus","https://peterkalmus.net/books/read-by-chapter-being-the-change/being-the-change-chapter-4-global-warming-the-outlook/"
"I personally find it less stressful to face the reality of global warming and to begin responding appropriately.","Peter Kalmus","https://peterkalmus.net/books/read-by-chapter-being-the-change/being-the-change-chapter-3-global-warming-the-science/"
"Humans aren't the problem. A particular human culture is the problem.","Peter Kalmus","https://peterkalmus.net/books/read-by-chapter-being-the-change/being-the-change-chapter-3-global-warming-the-science/"
"The speed of the change is what is very disturbing to me because it's such an indicator of what's happening to the planet as a whole.","Jennifer Francis","https://e360.yale.edu/features/unusually_warm_arctic_climate_turmoil_jennifer_francis"
"Pretty much all of the changes that we expect to see happen in the climate system have been occurring more rapidly than we expected.","Jennifer Francis","https://e360.yale.edu/features/unusually_warm_arctic_climate_turmoil_jennifer_francis"
"There's no point in being a scientist if you're unwilling to defend the technical expertise that you have and the findings that you and your colleagues have gained.","Ben Santer","https://www.csldf.org/2017/12/26/perspectives-scientists-become-targets-ben-santer/"
"It is gratifying to know that what we do really matters at this point in human history.","Ben Santer","https://www.csldf.org/2017/12/26/perspectives-scientists-become-targets-ben-santer/"
"This is our responsibility as scientists — to understand what's going on in the climate system, why climate is changing, and what likely outcomes are if we do not significantly reduce emissions of greenhouse gases.","Ben Santer","https://www.csldf.org/2017/12/26/perspectives-scientists-become-targets-ben-santer/"
"The more the climate is forced to change, the more likely it is to hit some unforeseen threshold that can trigger quite fast, surprising and perhaps unpleasant changes.","Richard Alley","https://www.heinzawards.org/pages/richard-alley"
"I don't see any fundamental barriers to us getting to a sustainable, peaceful, happy and healthy world except us.","Richard Alley","https://www.earthmagazine.org/article/down-earth-glaciologist-richard-alley/"
"Climate science has now been demonstrated to be skillful. It does not tell you what policies to pass, but it is a piece of useful information with associated uncertainties.","Richard Alley","https://www.earthmagazine.org/article/down-earth-glaciologist-richard-alley/"
"We are the creature that can take notice and bear witness to the beauty of the world we inhabit. It seems a sin not to take that notice.","Bill McKibben","https://thejesuitpost.org/2022/10/bill-mckibben-we-must-learn-to-fit-back-inside-creation/"
"We've been small and something else — God or nature — has been very large, and all of a sudden those proportions are reversed.","Bill McKibben","https://thejesuitpost.org/2022/10/bill-mckibben-we-must-learn-to-fit-back-inside-creation/"
"The iron rule of climate change is the less you did to cause it, the more and the quicker you suffer.","Bill McKibben","https://e360.yale.edu/features/why-bill-mckibben-sees-rays-of-hope-in-a-grim-climate-picture"
"The size of those impacts are a measure of our own agency. We have the power to stop them from happening entirely.","David Wallace-Wells","https://www.rollingstone.com/politics/politics-news/the-strange-optimism-of-climate-alarmist-david-wallace-wells-807028/"
"That story is entirely up to us to write. Absolutely anything that could happen will only happen if we let it.","David Wallace-Wells","https://www.rollingstone.com/politics/politics-news/the-strange-optimism-of-climate-alarmist-david-wallace-wells-807028/"
"Whatever you think is a permanent, lasting, eternal feature of human life — all of it will be affected by climate change.","David Wallace-Wells","https://www.penguinrandomhouse.com/articles/the-uninhabitable-earth/"
"The qualities that made us human to begin with — our restlessness, our creativity, our ability to cooperate to solve problems and complete complicated tasks — are leading us to rapidly transform the world.","Elizabeth Kolbert","https://www.nationalgeographic.com/science/article/140218-kolbert-book-extinction-climate-science-amazon-rain-forest-wilderness"
"We are the asteroid now. The asteroid also had a lot of different effects, and it didn't end too well.","Elizabeth Kolbert","https://www.nationalgeographic.com/science/article/140218-kolbert-book-extinction-climate-science-amazon-rain-forest-wilderness"
"We have to be able to acknowledge that there's a lot of bad shit happening, and also that we have a responsibility to try to minimize that.","Elizabeth Kolbert","https://tricycle.org/magazine/no-easy-answers/"
"This is the work of our lifetime, so why don't we find ways to make it delightful?","Ayana Elizabeth Johnson","https://www.nosmallendeavor.com/ayana-elizabeth-johnson-what-if-we-get-climate-action-right"
"Even if we don't get it right, I will have lived a much more rewarding life for having tried to get it right.","Ayana Elizabeth Johnson","https://www.nosmallendeavor.com/ayana-elizabeth-johnson-what-if-we-get-climate-action-right"
